m	inst	veh	dist	cost	Sec	limit	gap	bin
1	Dist	c101C5.txt	2	264	239.466666667	2.677	300	0
1	MCP-TOU2	c101C5.txt	2	264	233.466666667	300.067	300	0
2	Dist	c103C5.txt	1	176	279.3	1.231	300	0
2	MCP-TOU2	c103C5.txt	1	176	254.95	300.032	300	0
3	Dist	c206C5.txt	1	250	478.733333333	3.58	300	0
3	MCP-TOU2	c206C5.txt	1	250	478.733333333	300.047	300	0
4	Dist	c208C5.txt	1	164	154.216666667	0.319	300	0
4	MCP-TOU2	c208C5.txt	1	164	154.216666667	300.099	300	0
5	Dist	r104C5.txt	2	136	4.333333333	0.75	300	0
5	MCP-TOU2	r104C5.txt	2	136	4.333333333	300.118	300	0
6	Dist	r105C5.txt	2	156	9.533333333	0.338	300	0
6	MCP-TOU2	r105C5.txt	2	156	9.533333333	300.109	300	0
7	Dist	r202C5.txt	1	143	17.983333333	5.508	300	0
7	MCP-TOU2	r202C5.txt	1	143	17.766666667	300.051	300	0
8	Dist	r203C5.txt	1	185	49.35	8.651	300	0
8	MCP-TOU2	r203C5.txt	1	185	42.866666667	300.054	300	0
9	Dist	rc105C5.txt	2	242	15.333333333	0.77	300	0
9	MCP-TOU2	rc105C5.txt	2	242	14.883333333	300.176	300	0
10	Dist	rc108C5.txt	2	252	17.233333333	0.892	300	0
10	MCP-TOU2	rc108C5.txt	2	252	17.233333333	300.172	300	0
11	Dist	rc204C5.txt	1	185	18.816666667	0.888	300	0
11	MCP-TOU2	rc204C5.txt	1	185	18.766666667	300.036	300	0
12	Dist	rc208C5.txt	1	168	16.6	1.086	300	0
12	MCP-TOU2	rc208C5.txt	1	168	16.6	300.032	300	0
13	Dist	c101C10.txt	5	624	602.833333333	120.298	120	1
13	MCP-TOU2	c101C10.txt	5	624	584.65	180.01	120	0
14	Dist	c104C10.txt	3	427	418.633333333	120.07	120	1
14	MCP-TOU2	c104C10.txt	3	427	418.633333333	180.088	120	0
15	Dist	c202C10.txt	3	479	656.916666667	120.207	120	1
15	MCP-TOU2	c202C10.txt	3	479	574.45	180.149	120	0
16	Dist	c205C10.txt	3	459	635.166666667	120.015	120	1
16	MCP-TOU2	c205C10.txt	3	459	589.233333333	180.236	120	0
17	Dist	r102C10.txt	5	444	31.166666667	120.207	120	1
17	MCP-TOU2	r102C10.txt	5	444	30.883333333	180.162	120	0
18	Dist	r103C10.txt	3	336	33.983333333	120.206	120	1
18	MCP-TOU2	r103C10.txt	3	336	33.85	180.228	120	0
19	Dist	r201C10.txt	3	326	51.183333333	120.127	120	1
19	MCP-TOU2	r201C10.txt	3	326	48.333333333	180.192	120	0
20	Dist	r203C10.txt	2	329	44.966666667	120.082	120	1
20	MCP-TOU2	r203C10.txt	2	329	44.966666667	180.028	120	0
21	Dist	rc102C10.txt	5	493	22.9	120.265	120	1
21	MCP-TOU2	rc102C10.txt	5	493	22.9	180.16	120	0
22	Dist	rc108C10.txt	5	629	42.316666667	120.303	120	1
22	MCP-TOU2	rc108C10.txt	5	629	42.316666667	180.286	120	0
23	Dist	rc201C10.txt	4	434	42	120.099	120	1
23	MCP-TOU2	rc201C10.txt	4	434	35.466666667	180.164	120	0
24	Dist	rc205C10.txt	4	681	83.1	120.069	120	1
24	MCP-TOU2	rc205C10.txt	4	681	82.566666667	180.198	120	0
